turn,player,move,time_seconds,memory_bytes,memory_mb,time_limit,is_first_turn,violation
1,bot027,2 0 2 5 1 4,0.4758942499756813,416907264,397.59375,2.0,True,none
2,bot027,5 7 5 1 1 1,0.4954758749809116,420741120,401.25,2.0,True,none
3,bot027,7 2 6 3 6 6,0.49541129101999104,424755200,405.078125,1.0,False,none
4,bot027,2 7 4 5 0 1,0.5684670000337064,423559168,403.9375,1.0,False,none
5,bot027,0 2 2 2 0 4,0.560878417105414,418824192,399.421875,1.0,False,none
6,bot027,0 5 1 6 3 6,0.6204142089700326,426835968,407.0625,1.0,False,none
7,bot027,2 5 3 5 0 5,0.6371707919752225,424542208,404.875,1.0,False,none
8,bot027,7 5 6 4 4 6,0.6492783329449594,422461440,402.890625,1.0,False,none
9,bot027,3 5 2 6 2 7,0.652995791984722,420872192,401.375,1.0,False,none
10,bot027,4 5 1 2 1 3,0.7527077910490334,423837696,404.203125,1.0,False,none
11,bot027,2 2 2 1 7 6,0.730534709058702,424017920,404.375,1.0,False,none
12,bot027,6 4 5 5 7 3,0.7264450830407441,425197568,405.5,1.0,False,none
13,bot027,5 0 2 3 5 6,0.7885866250144318,426606592,406.84375,1.0,False,none
14,bot027,5 5 5 4 7 4,0.8902183749014512,425951232,406.21875,1.0,False,none
15,bot027,6 3 6 1 6 5,0.9368661659536883,417300480,397.96875,1.0,False,none
16,bot027,1 6 1 5 3 3,0.9397864589700475,411516928,392.453125,1.0,False,none
17,bot027,2 3 3 4 2 3,0.9382016250165179,322879488,307.921875,1.0,False,none
18,bot027,1 5 1 6 1 7,0.9362148750806227,318373888,303.625,1.0,False,none
19,bot027,3 4 4 4 4 0,0.9356439579278231,300744704,286.8125,1.0,False,none
20,bot027,1 6 1 5 1 6,0.9353573329281062,267681792,255.28125,1.0,False,none
21,bot027,4 4 5 3 4 2,0.9346142500871792,255918080,244.0625,1.0,False,none
22,bot027,5 4 4 4 6 4,0.9345172080211341,244301824,232.984375,1.0,False,none
23,bot027,5 3 5 4 4 3,0.9341823749709874,201506816,192.171875,1.0,False,none
24,bot027,5 1 4 1 6 3,0.9348873330745846,196657152,187.546875,1.0,False,none
25,bot027,5 4 5 5 5 3,0.9338304160628468,132743168,126.59375,1.0,False,none
26,bot027,4 1 5 1 3 1,0.9337740419432521,151535616,144.515625,1.0,False,none
27,bot027,5 5 4 5 5 4,0.9338556249858811,133758976,127.5625,1.0,False,none
28,bot027,4 4 3 5 4 4,0.9343554170336574,153698304,146.578125,1.0,False,none
29,bot027,4 5 3 4 4 5,0.9337721250485629,109363200,104.296875,1.0,False,none
30,bot027,3 5 2 5 3 5,0.934985833009705,113999872,108.71875,1.0,False,none
31,bot027,3 4 2 4 3 4,0.9332989170216024,112263168,107.0625,1.0,False,none
32,bot027,5 1 5 0 3 2,0.93453441595193,92012544,87.75,1.0,False,none
33,bot027,2 6 3 7 2 6,0.9335867499466985,89440256,85.296875,1.0,False,none
34,bot027,5 0 5 1 6 0,0.9340052909683436,103694336,98.890625,1.0,False,none
35,bot027,6 1 6 2 6 1,0.9341609160182998,103333888,98.546875,1.0,False,none
36,bot027,5 1 4 1 5 2,0.93401454098057,108789760,103.75,1.0,False,none
37,bot027,3 7 4 7 7 7,0.9349025830160826,109985792,104.890625,1.0,False,none
38,bot027,4 1 5 1 5 0,0.9346313329879194,111968256,106.78125,1.0,False,none
39,bot027,2 1 3 0 2 1,0.9331664580386132,110067712,104.96875,1.0,False,none
40,bot027,1 5 0 6 1 5,0.9334117909893394,117817344,112.359375,1.0,False,none
41,bot027,3 0 1 0 3 0,0.9330571249593049,30130176,28.734375,1.0,False,none
42,bot027,5 1 4 1 5 1,0.9321150840260088,26624000,25.390625,1.0,False,none
43,bot027,4 7 5 7 3 7,0.9321337919682264,9224192,8.796875,1.0,False,none
44,bot027,0 6 0 7 0 6,0.9344549590023234,3719168,3.546875,1.0,False,none
45,bot027,1 0 2 0 0 0,0.9318455830216408,1966080,1.875,1.0,False,none
46,bot027,1 2 0 2 0 3,0.931895959074609,1507328,1.4375,1.0,False,none
47,bot027,5 7 6 7 4 7,0.9317520409822464,1392640,1.328125,1.0,False,none
48,bot027,0 2 1 2 0 2,0.9317755420925096,1376256,1.3125,1.0,False,none
49,bot027,6 7 5 7 6 7,0.9318362500052899,1376256,1.3125,1.0,False,none
50,bot027,1 2 2 2 1 2,0.9318082919344306,1376256,1.3125,1.0,False,none
51,bot027,2 0 1 0 2 0,0.9317946669179946,1376256,1.3125,1.0,False,none
52,bot027,,0.9317820420255885,1376256,1.3125,1.0,False,none
