turn,player,move,time_seconds,memory_bytes,memory_mb,time_limit,is_first_turn,violation
1,bot,2 0 1 0 1 1,0.0020162920700386167,0,0.0,2.0,True,none
2,bot,2 7 1 7 0 6,0.0022771660005673766,0,0.0,2.0,True,none
3,bot,0 2 3 2 4 1,0.0018136249855160713,0,0.0,1.0,False,none
4,bot,0 5 0 4 7 4,0.001687500043772161,0,0.0,1.0,False,none
5,bot,7 2 2 7 4 7,0.001583209028467536,0,0.0,1.0,False,none
6,bot,0 4 5 4 0 4,0.0016580000519752502,0,0.0,1.0,False,none
7,bot,1 0 2 0 6 4,0.0015917919808998704,0,0.0,1.0,False,none
8,bot,7 5 3 5 5 3,0.0016506669344380498,0,0.0,1.0,False,none
9,bot,3 2 3 4 4 4,0.0015470419311895967,0,0.0,1.0,False,none
10,bot,3 5 1 5 1 4,0.0017564169829711318,0,0.0,1.0,False,none
11,bot,5 0 7 0 5 2,0.0015283749671652913,0,0.0,1.0,False,none
12,bot,1 5 3 3 0 3,0.0016833749832585454,0,0.0,1.0,False,none
13,bot,2 7 4 5 5 5,0.0016735829412937164,0,0.0,1.0,False,none
14,bot,3 3 4 3 1 0,0.0015583750791847706,0,0.0,1.0,False,none
15,bot,3 4 2 5 1 6,0.0016504579689353704,0,0.0,1.0,False,none
16,bot,5 4 6 5 7 6,0.0016874999273568392,0,0.0,1.0,False,none
17,bot,4 5 7 2 5 0,0.0016281669959425926,0,0.0,1.0,False,none
18,bot,1 7 2 7 4 5,0.0015842911088839173,0,0.0,1.0,False,none
19,bot,7 0 7 1 7 0,0.0015821660635992885,0,0.0,1.0,False,none
20,bot,5 7 4 6 1 3,0.0016456249868497252,0,0.0,1.0,False,none
21,bot,2 0 2 3 2 2,0.0016007079975679517,0,0.0,1.0,False,none
22,bot,4 6 5 7 7 5,0.0015956669813022017,0,0.0,1.0,False,none
23,bot,7 2 6 1 5 1,0.0015694579342380166,0,0.0,1.0,False,none
24,bot,5 7 6 7 5 7,0.001567375031299889,0,0.0,1.0,False,none
25,bot,2 3 2 4 3 5,0.0015395840164273977,0,0.0,1.0,False,none
26,bot,4 3 5 4 6 3,0.0015143750933930278,0,0.0,1.0,False,none
27,bot,2 5 3 4 2 5,0.001532082911580801,0,0.0,1.0,False,none
28,bot,2 7 3 7 4 6,0.0014939579414203763,0,0.0,1.0,False,none
29,bot,3 4 3 0 2 1,0.0015442919684574008,0,0.0,1.0,False,none
30,bot,3 7 1 7 0 7,0.001531417015939951,0,0.0,1.0,False,none
31,bot,2 4 1 5 3 3,0.0015939580043777823,0,0.0,1.0,False,none
32,bot,1 7 2 6 2 7,0.0015354580245912075,0,0.0,1.0,False,none
33,bot,7 1 7 3 6 2,0.0014913330087438226,0,0.0,1.0,False,none
34,bot,6 5 5 6 6 6,0.0016746250912547112,0,0.0,1.0,False,none
35,bot,1 5 2 4 1 5,0.0016123750247061253,0,0.0,1.0,False,none
36,bot,5 4 6 5 5 4,0.0015225410461425781,0,0.0,1.0,False,none
37,bot,6 1 6 0 7 1,0.0016160419909283519,0,0.0,1.0,False,none
38,bot,2 6 3 6 2 6,0.0014943330315873027,0,0.0,1.0,False,none
39,bot,3 0 4 0 3 0,0.0017708339728415012,0,0.0,1.0,False,none
40,bot,6 7 7 7 6 7,0.001692374935373664,0,0.0,1.0,False,none
41,bot,4 0 3 1 4 2,0.0015752919716760516,0,0.0,1.0,False,none
42,bot,3 6 3 7 3 6,0.0015650000423192978,0,0.0,1.0,False,none
43,bot,2 4 3 4 2 4,0.0017010000301524997,0,0.0,1.0,False,none
44,bot,,0.001632666913792491,0,0.0,1.0,False,none
