turn,player,move,time_seconds,memory_bytes,memory_mb,memory_limit_mb,time_limit,is_first_turn,violation
1,bot030,5 0 5 6 0 6,0.7175729589071125,448888832,428.09375,512.0,2.0,True,none
2,bot,7 5 6 6 6 1,0.0018115830607712269,0,0.0,512.0,2.0,True,none
3,bot030,0 2 2 4 1 4,0.8197044580010697,456179712,435.046875,512.0,1.0,False,none
4,bot,6 6 7 7 7 6,0.0018040830036625266,0,0.0,512.0,1.0,False,none
5,bot030,2 0 2 2 4 4,0.8804552500369027,458293248,437.0625,512.0,1.0,False,none
6,bot,5 7 3 7 4 6,0.0018626670353114605,0,0.0,512.0,1.0,False,none
7,bot030,7 2 6 3 3 6,0.8858715830137953,397312000,378.90625,512.0,1.0,False,none
8,bot,2 7 1 7 2 7,0.001784833031706512,0,0.0,512.0,1.0,False,none
9,bot030,2 4 1 5 0 4,0.8863347499864176,404717568,385.96875,512.0,1.0,False,none
10,bot,7 7 5 5 5 4,0.0018189999973401427,0,0.0,512.0,1.0,False,none
11,bot030,6 3 6 2 6 4,0.8844797080382705,251396096,239.75,512.0,1.0,False,none
12,bot,3 7 2 6 3 5,0.0018528340151533484,0,0.0,512.0,1.0,False,none
13,bot030,1 5 2 5 1 5,0.8833383750170469,147423232,140.59375,512.0,1.0,False,none
14,bot,5 5 6 6 5 7,0.0017871659947559237,0,0.0,512.0,1.0,False,none
15,bot030,6 2 5 2 7 4,0.8828449589200318,85147648,81.203125,512.0,1.0,False,none
16,bot,6 6 5 5 7 7,0.0017306249355897307,0,0.0,512.0,1.0,False,none
17,bot030,2 2 1 2 4 5,0.882617958006449,74072064,70.640625,512.0,1.0,False,none
18,bot,2 6 3 7 4 7,0.001724708010442555,0,0.0,512.0,1.0,False,none
19,bot030,2 5 1 6 2 6,0.8823514590039849,66322432,63.25,512.0,1.0,False,none
20,bot,5 5 6 6 6 7,0.0017972920322790742,0,0.0,512.0,1.0,False,none
21,bot030,5 6 6 5 5 6,0.8821638339431956,42450944,40.484375,512.0,1.0,False,none
22,bot,6 6 7 5 6 6,0.0016927090473473072,0,0.0,512.0,1.0,False,none
23,bot030,1 6 0 7 1 6,0.8818305829772726,18120704,17.28125,512.0,1.0,False,none
24,bot,,0.001653415965847671,0,0.0,512.0,1.0,False,none
