turn,player,move,time_seconds,memory_bytes,memory_mb,memory_limit_mb,time_limit,is_first_turn,violation
1,bot,0 2 4 6 6 4,0.0018572090193629265,0,0.0,512.0,2.0,True,none
2,bot,2 7 1 7 1 1,0.0019746660254895687,0,0.0,512.0,2.0,True,none
3,bot,4 6 4 4 3 4,0.0016184999840334058,0,0.0,512.0,1.0,False,none
4,bot,0 5 6 5 3 5,0.0016442090272903442,0,0.0,512.0,1.0,False,none
5,bot,4 4 3 3 2 2,0.0016531249275431037,0,0.0,512.0,1.0,False,none
6,bot,6 5 1 0 0 0,0.001607209094800055,0,0.0,512.0,1.0,False,none
7,bot,7 2 7 0 7 4,0.0018995830323547125,0,0.0,512.0,1.0,False,none
8,bot,7 5 4 5 4 4,0.0015812499914318323,0,0.0,512.0,1.0,False,none
9,bot,3 3 0 6 4 6,0.0015405409503728151,0,0.0,512.0,1.0,False,none
10,bot,4 5 7 2 6 3,0.0015433750813826919,0,0.0,512.0,1.0,False,none
11,bot,0 6 3 3 4 2,0.001539040938951075,0,0.0,512.0,1.0,False,none
12,bot,1 0 4 3 6 1,0.001515874988399446,0,0.0,512.0,1.0,False,none
13,bot,5 0 5 4 5 1,0.001561083015985787,0,0.0,512.0,1.0,False,none
14,bot,5 7 7 7 2 7,0.001561083015985787,0,0.0,512.0,1.0,False,none
15,bot,7 0 3 0 3 1,0.001584916957654059,0,0.0,512.0,1.0,False,none
16,bot,1 7 1 4 0 3,0.0016859170282259583,0,0.0,512.0,1.0,False,none
17,bot,3 0 1 2 2 1,0.0015899999998509884,0,0.0,512.0,1.0,False,none
18,bot,1 4 2 5 1 5,0.001766167115420103,0,0.0,512.0,1.0,False,none
19,bot,5 4 5 3 5 5,0.0021185840014368296,0,0.0,512.0,1.0,False,none
20,bot,7 7 6 7 4 7,0.0020057919900864363,0,0.0,512.0,1.0,False,none
21,bot,5 3 5 4 7 6,0.002292957971803844,0,0.0,512.0,1.0,False,none
22,bot,2 5 2 6 1 6,0.0027701250510290265,0,0.0,512.0,1.0,False,none
23,bot,2 0 1 0 5 0,0.0040746250888332725,0,0.0,512.0,1.0,False,none
24,bot,7 2 6 2 5 3,0.0038828329415991902,0,0.0,512.0,1.0,False,none
25,bot,3 3 2 3 3 2,0.004117583041079342,0,0.0,512.0,1.0,False,none
26,bot,2 6 2 4 1 4,0.002309083007276058,0,0.0,512.0,1.0,False,none
27,bot,5 4 6 5 7 5,0.002533416962251067,0,0.0,512.0,1.0,False,none
28,bot,6 7 6 6 5 6,0.004153207992203534,0,0.0,512.0,1.0,False,none
29,bot,2 3 1 3 0 2,0.0017582080326974392,0,0.0,512.0,1.0,False,none
30,bot,2 4 2 3 2 4,0.001632041996344924,0,0.0,512.0,1.0,False,none
31,bot,1 0 4 0 3 0,0.0017038750229403377,0,0.0,512.0,1.0,False,none
32,bot,4 3 5 4 3 6,0.0016253750072792172,0,0.0,512.0,1.0,False,none
33,bot,4 0 4 1 5 2,0.0015503749018535018,0,0.0,512.0,1.0,False,none
34,bot,6 2 7 2 7 3,0.0016555830370634794,0,0.0,512.0,1.0,False,none
35,bot,1 3 0 4 0 5,0.001544457976706326,0,0.0,512.0,1.0,False,none
36,bot,5 4 4 3 3 3,0.0015463329618796706,0,0.0,512.0,1.0,False,none
37,bot,1 2 0 1 1 2,0.002124625025317073,0,0.0,512.0,1.0,False,none
38,bot,6 6 7 7 6 6,0.0016060000052675605,0,0.0,512.0,1.0,False,none
39,bot,4 1 4 0 4 1,0.0016966660041362047,0,0.0,512.0,1.0,False,none
40,bot,7 7 5 7 7 7,0.0016097089974209666,0,0.0,512.0,1.0,False,none
41,bot,6 5 5 4 6 5,0.0015865419991314411,0,0.0,512.0,1.0,False,none
42,bot,7 2 7 1 7 0,0.001539166085422039,0,0.0,512.0,1.0,False,none
43,bot,5 4 4 5 5 4,0.001517708064056933,0,0.0,512.0,1.0,False,none
44,bot,7 1 6 0 7 1,0.0015227081021293998,0,0.0,512.0,1.0,False,none
45,bot,0 1 1 0 0 1,0.0016846669605001807,0,0.0,512.0,1.0,False,none
46,bot,5 7 6 7 5 7,0.0015462919836863875,0,0.0,512.0,1.0,False,none
47,bot,1 0 2 0 1 0,0.0015396249946206808,0,0.0,512.0,1.0,False,none
48,bot,2 3 1 3 2 3,0.0015751669416204095,0,0.0,512.0,1.0,False,none
49,bot,,0.001577999908477068,0,0.0,512.0,1.0,False,none
