turn,player,move,time_seconds,memory_bytes,memory_mb,memory_limit_mb,time_limit,is_first_turn,violation
1,bot028,2 0 2 6 5 6,0.261284124921076,479002624,456.8125,512.0,2.0,True,none
2,bot028,7 5 4 2 1 2,0.28622429200913757,484491264,462.046875,512.0,2.0,True,none
3,bot028,7 2 5 4 3 2,0.298300958937034,484737024,462.28125,512.0,1.0,False,none
4,bot028,5 7 6 6 1 1,0.3287086250493303,487194624,464.625,512.0,1.0,False,none
5,bot028,0 2 1 3 3 1,0.3262875000946224,486916096,464.359375,512.0,1.0,False,none
6,bot028,4 2 5 2 7 4,0.346307042054832,487227392,464.65625,512.0,1.0,False,none
7,bot028,5 0 5 1 4 1,0.35276450007222593,485310464,462.828125,512.0,1.0,False,none
8,bot028,0 5 1 4 4 7,0.40992366697173566,483082240,460.703125,512.0,1.0,False,none
9,bot028,5 1 6 1 5 1,0.38223195797763765,486359040,463.828125,512.0,1.0,False,none
10,bot028,5 2 6 2 6 4,0.4782154590357095,485457920,462.96875,512.0,1.0,False,none
11,bot028,2 6 1 6 3 6,0.45602562511339784,485949440,463.4375,512.0,1.0,False,none
12,bot028,2 7 2 1 2 7,0.5713947080075741,483950592,461.53125,512.0,1.0,False,none
13,bot028,1 6 1 5 7 5,0.5304300419520587,485949440,463.4375,512.0,1.0,False,none
14,bot028,6 6 5 5 6 5,0.625688209082,486162432,463.640625,512.0,1.0,False,none
15,bot028,5 4 4 5 6 3,0.604296165984124,487276544,464.703125,512.0,1.0,False,none
16,bot028,2 1 1 0 5 0,0.6956327920779586,485195776,462.71875,512.0,1.0,False,none
17,bot028,1 3 2 2 2 0,0.6819559170398861,486277120,463.75,512.0,1.0,False,none
18,bot028,5 5 4 6 5 5,0.7515792499762028,487129088,464.5625,512.0,1.0,False,none
19,bot028,2 2 2 1 2 5,0.8661846660543233,487342080,464.765625,512.0,1.0,False,none
20,bot028,1 4 2 4 4 4,0.9363959999755025,459653120,438.359375,512.0,1.0,False,none
21,bot028,4 5 2 3 4 5,0.9363690000027418,426655744,406.890625,512.0,1.0,False,none
22,bot028,4 6 3 5 3 3,0.9359799999510869,426459136,406.703125,512.0,1.0,False,none
23,bot028,2 3 1 3 2 3,0.9360072918934748,412221440,393.125,512.0,1.0,False,none
24,bot028,3 5 2 6 0 6,0.9359893330838531,401244160,382.65625,512.0,1.0,False,none
25,bot028,1 5 1 6 1 4,0.9355542500270531,380157952,362.546875,512.0,1.0,False,none
26,bot028,1 0 0 1 0 3,0.9352998750982806,374636544,357.28125,512.0,1.0,False,none
27,bot028,6 1 5 2 7 0,0.9353402499109507,374374400,357.03125,512.0,1.0,False,none
28,bot028,2 4 5 7 2 4,0.9350144589552656,363823104,346.96875,512.0,1.0,False,none
29,bot028,2 1 1 0 0 0,0.935191125026904,365559808,348.625,512.0,1.0,False,none
30,bot028,0 1 0 2 0 1,0.9352714999113232,364740608,347.84375,512.0,1.0,False,none
31,bot028,1 0 2 1 2 2,0.9352066669380292,365658112,348.71875,512.0,1.0,False,none
32,bot028,6 2 5 3 7 1,0.9355449590366334,364871680,347.96875,512.0,1.0,False,none
33,bot028,1 3 0 4 1 3,0.9354594999458641,364167168,347.296875,512.0,1.0,False,none
34,bot028,5 3 6 2 6 0,0.9357613329775631,362528768,345.734375,512.0,1.0,False,none
35,bot028,5 2 5 3 5 2,0.9354393340181559,354336768,337.921875,512.0,1.0,False,none
36,bot028,5 7 6 6 7 7,0.9351807920029387,354762752,338.328125,512.0,1.0,False,none
37,bot028,0 4 0 5 1 5,0.9354194169864058,353861632,337.46875,512.0,1.0,False,none
38,bot028,2 6 1 7 2 6,0.935722624999471,350486528,334.25,512.0,1.0,False,none
39,bot028,1 6 0 7 1 6,0.9354397089919075,350322688,334.09375,512.0,1.0,False,none
40,bot028,6 6 5 7 3 5,0.9353251659777015,349847552,333.640625,512.0,1.0,False,none
41,bot028,2 1 3 0 4 0,0.9351702500134706,350683136,334.4375,512.0,1.0,False,none
42,bot028,5 7 4 6 3 7,0.9353323329705745,343474176,327.5625,512.0,1.0,False,none
43,bot028,5 3 5 4 5 3,0.9353488329797983,343097344,327.203125,512.0,1.0,False,none
44,bot028,4 6 5 7 4 6,0.9352154999505728,338509824,322.828125,512.0,1.0,False,none
45,bot028,3 0 2 1 1 0,0.9356036250246689,338493440,322.8125,512.0,1.0,False,none
46,bot028,6 2 7 2 7 3,0.9351867920486256,337657856,322.015625,512.0,1.0,False,none
47,bot028,2 1 3 0 2 1,0.9361784160137177,337461248,321.828125,512.0,1.0,False,none
48,bot028,7 2 6 2 6 1,0.9352363329380751,337395712,321.765625,512.0,1.0,False,none
49,bot028,0 5 0 4 0 5,0.9353508750209585,337379328,321.75,512.0,1.0,False,none
50,bot028,5 7 6 6 7 6,0.9351166250417009,337379328,321.75,512.0,1.0,False,none
51,bot028,5 4 4 3 4 2,0.9352409590501338,337379328,321.75,512.0,1.0,False,none
52,bot028,6 6 6 7 6 6,0.9348797500133514,337379328,321.75,512.0,1.0,False,none
53,bot028,4 3 3 4 4 3,0.9352254589321092,337379328,321.75,512.0,1.0,False,none
54,bot028,6 2 7 2 6 2,0.935214375029318,337379328,321.75,512.0,1.0,False,none
55,bot028,,0.9350843749707565,337379328,321.75,512.0,1.0,False,none
