turn,player,move,time_seconds,memory_bytes,memory_mb,memory_limit_mb,time_limit,is_first_turn,violation
1,bot027,5 0 5 6 1 6,0.45154133392497897,417087488,397.765625,512.0,2.0,True,none
2,bot027,2 7 2 2 1 3,0.4973190409364179,420298752,400.828125,512.0,2.0,True,none
3,bot027,2 0 4 2 0 6,0.521091541973874,418136064,398.765625,512.0,1.0,False,none
4,bot027,0 5 2 5 0 3,0.5586667919997126,425492480,405.78125,512.0,1.0,False,none
5,bot027,0 2 1 1 3 1,0.5620756249409169,416743424,397.4375,512.0,1.0,False,none
6,bot027,7 5 5 3 7 1,0.6436107499757782,419676160,400.234375,512.0,1.0,False,none
7,bot027,4 2 1 5 1 4,0.6510784999700263,426213376,406.46875,512.0,1.0,False,none
8,bot027,2 2 2 1 6 5,0.6520425409544259,417726464,398.375,512.0,1.0,False,none
9,bot027,7 2 5 2 3 0,0.9146140000084415,422264832,402.703125,512.0,1.0,False,none
10,bot027,2 5 2 6 2 4,0.8324245000258088,423378944,403.765625,512.0,1.0,False,none
11,bot027,5 6 6 6 2 2,0.8245066669769585,428081152,408.25,512.0,1.0,False,none
12,bot027,5 3 6 2 4 0,0.9368888330645859,410320896,391.3125,512.0,1.0,False,none
13,bot027,1 5 3 5 1 5,0.9369699159869924,405045248,386.28125,512.0,1.0,False,none
14,bot027,5 7 5 6 0 1,0.9362130840308964,384450560,366.640625,512.0,1.0,False,none
15,bot027,3 5 3 6 3 2,0.9373710829531774,374718464,357.359375,512.0,1.0,False,none
16,bot027,5 6 5 5 5 7,0.9358272081008181,349011968,332.84375,512.0,1.0,False,none
17,bot027,5 2 5 1 5 4,0.9359962500166148,324993024,309.9375,512.0,1.0,False,none
18,bot027,6 2 5 2 6 2,0.9358892909949645,285376512,272.15625,512.0,1.0,False,none
19,bot027,5 1 6 1 4 1,0.9349646250484511,262078464,249.9375,512.0,1.0,False,none
20,bot027,5 5 5 6 3 4,0.9351096249883994,243499008,232.21875,512.0,1.0,False,none
21,bot027,3 6 3 5 5 3,0.9336565000703558,197574656,188.421875,512.0,1.0,False,none
22,bot027,5 6 4 5 3 6,0.9335227500414476,173047808,165.03125,512.0,1.0,False,none
23,bot027,6 6 5 6 5 5,0.933414916973561,132038656,125.921875,512.0,1.0,False,none
24,bot027,4 5 4 4 4 6,0.933542708051391,132808704,126.65625,512.0,1.0,False,none
25,bot027,5 6 7 6 7 3,0.9334286659723148,114900992,109.578125,512.0,1.0,False,none
26,bot027,4 4 4 5 6 7,0.9330626250011846,112001024,106.8125,512.0,1.0,False,none
27,bot027,3 5 4 4 4 2,0.933199374936521,101269504,96.578125,512.0,1.0,False,none
28,bot027,4 5 5 6 6 6,0.9331080419942737,105922560,101.015625,512.0,1.0,False,none
29,bot027,4 4 3 5 4 5,0.9328949579503387,100974592,96.296875,512.0,1.0,False,none
30,bot027,5 2 6 3 7 4,0.9329362090211362,86065152,82.078125,512.0,1.0,False,none
31,bot027,6 1 5 0 5 2,0.9328668749658391,93749248,89.40625,512.0,1.0,False,none
32,bot027,6 3 7 2 6 1,0.932816292042844,88522752,84.421875,512.0,1.0,False,none
33,bot027,1 1 1 0 1 2,0.9325894160429016,95977472,91.53125,512.0,1.0,False,none
34,bot027,2 1 1 1 0 0,0.9326556669548154,88276992,84.1875,512.0,1.0,False,none
35,bot027,1 0 2 0 2 1,0.9326963329222053,99139584,94.546875,512.0,1.0,False,none
36,bot027,7 2 6 3 6 4,0.9327841660706326,102711296,97.953125,512.0,1.0,False,none
37,bot027,2 0 1 0 2 0,0.9328410410089418,104939520,100.078125,512.0,1.0,False,none
38,bot027,5 6 4 7 0 7,0.9327530000591651,110739456,105.609375,512.0,1.0,False,none
39,bot027,5 0 6 0 7 0,0.9327650410123169,108298240,103.28125,512.0,1.0,False,none
40,bot027,4 7 2 7 1 7,0.9328432499896735,116129792,110.75,512.0,1.0,False,none
41,bot027,3 5 4 4 3 5,0.9326545000076294,91947008,87.6875,512.0,1.0,False,none
42,bot027,2 7 4 7 5 6,0.9326025419868529,88997888,84.875,512.0,1.0,False,none
43,bot027,4 4 3 3 2 3,0.9322195000713691,26394624,25.171875,512.0,1.0,False,none
44,bot027,6 3 7 2 6 3,0.9320344160078093,19644416,18.734375,512.0,1.0,False,none
45,bot027,7 6 7 5 7 7,0.9318721250165254,5439488,5.1875,512.0,1.0,False,none
46,bot027,1 1 0 2 1 1,0.9318183329887688,3391488,3.234375,512.0,1.0,False,none
47,bot027,3 3 4 3 3 3,0.9318761250469834,1884160,1.796875,512.0,1.0,False,none
48,bot027,2 6 2 7 2 5,0.9317682499531657,1441792,1.375,512.0,1.0,False,none
49,bot027,6 0 5 1 5 0,0.9318317079450935,1376256,1.3125,512.0,1.0,False,none
50,bot027,2 7 2 6 2 7,0.9318251250078902,1376256,1.3125,512.0,1.0,False,none
51,bot027,7 5 7 6 7 5,0.9318735419074073,1376256,1.3125,512.0,1.0,False,none
52,bot027,2 6 3 7 2 6,0.9318453340092674,1376256,1.3125,512.0,1.0,False,none
53,bot027,5 1 6 0 5 1,0.9318414999870583,1376256,1.3125,512.0,1.0,False,none
54,bot027,,0.9318293749820441,1376256,1.3125,512.0,1.0,False,none
