turn,player,move,time_seconds,memory_bytes,memory_mb,memory_limit_mb,time_limit,is_first_turn,violation
1,bot032,2 0 2 6 7 6,0.8689848340582103,505790464,482.359375,512.0,2.0,True,none
2,bot,2 7 4 7 7 4,0.0019030000548809767,0,0.0,512.0,2.0,True,none
3,bot032,7 2 5 4 6 4,0.9354219579836354,502530048,479.25,512.0,1.0,False,none
4,bot,4 7 5 6 3 6,0.0019686250016093254,0,0.0,512.0,1.0,False,none
5,bot032,0 2 1 2 1 4,0.9498559999046847,501612544,478.375,512.0,1.0,False,none
6,bot,5 7 3 7 0 7,0.0017532079946249723,0,0.0,512.0,1.0,False,none
7,bot032,5 0 6 1 3 4,0.9792222080286592,501383168,478.15625,512.0,1.0,False,none
8,bot,5 6 4 7 6 5,0.0017657499993219972,0,0.0,512.0,1.0,False,none
9,bot032,5 4 5 6 4 6,0.9867936249356717,409649152,390.671875,512.0,1.0,False,none
10,bot,0 5 0 3 3 3,0.001960459048859775,0,0.0,512.0,1.0,False,none
11,bot032,5 6 6 6 5 6,0.98494512506295,247726080,236.25,512.0,1.0,False,none
12,bot,0 3 0 4 0 2,0.0017107920721173286,0,0.0,512.0,1.0,False,none
13,bot032,6 1 6 2 2 2,0.9836891250452027,169639936,161.78125,512.0,1.0,False,none
14,bot,4 7 5 7 7 7,0.0018142079934477806,0,0.0,512.0,1.0,False,none
15,bot032,6 6 4 4 6 6,0.9830084580462426,103628800,98.828125,512.0,1.0,False,none
16,bot,0 4 1 3 2 4,0.0017259580781683326,0,0.0,512.0,1.0,False,none
17,bot032,4 4 4 1 2 3,0.9830818750197068,87736320,83.671875,512.0,1.0,False,none
18,bot,1 3 0 3 0 6,0.0017589159542694688,0,0.0,512.0,1.0,False,none
19,bot032,2 6 1 6 2 6,0.9831420409027487,86310912,82.3125,512.0,1.0,False,none
20,bot,0 3 0 5 0 4,0.0018499159486964345,0,0.0,512.0,1.0,False,none
21,bot032,4 1 4 5 1 5,0.9835786250187084,125714432,119.890625,512.0,1.0,False,none
22,bot,3 7 2 7 4 7,0.0018561669858172536,0,0.0,512.0,1.0,False,none
23,bot032,1 6 1 7 1 6,0.9824087499873713,34816000,33.203125,512.0,1.0,False,none
24,bot,2 7 3 7 2 7,0.0017654579132795334,0,0.0,512.0,1.0,False,none
25,bot032,1 2 2 1 0 1,0.9819345830474049,7389184,7.046875,512.0,1.0,False,none
26,bot,5 7 6 7 5 7,0.0019055840093642473,0,0.0,512.0,1.0,False,none
27,bot032,6 2 5 2 7 0,0.9817481669597328,1392640,1.328125,512.0,1.0,False,none
28,bot,,0.0018239159835502505,0,0.0,512.0,1.0,False,none
