turn,player,move,time_seconds,memory_bytes,memory_mb,memory_limit_mb,time_limit,is_first_turn,violation
1,bot032,5 0 5 6 0 6,0.7969607500126585,505348096,481.9375,512.0,2.0,True,none
2,bot,5 7 3 5 3 6,0.0018997499719262123,0,0.0,512.0,2.0,True,none
3,bot032,0 2 2 4 1 4,0.9180410000262782,504414208,481.046875,512.0,1.0,False,none
4,bot,7 5 7 3 4 6,0.0018584579229354858,0,0.0,512.0,1.0,False,none
5,bot032,2 0 3 1 0 4,0.9380987919867039,489439232,466.765625,512.0,1.0,False,none
6,bot,7 3 2 3 4 3,0.0018887919140979648,0,0.0,512.0,1.0,False,none
7,bot032,7 2 6 2 4 4,0.9357906670775265,440795136,420.375,512.0,1.0,False,none
8,bot,2 7 7 7 7 6,0.0018341660033911467,0,0.0,512.0,1.0,False,none
9,bot032,2 4 2 6 1 6,0.9358543329872191,375570432,358.171875,512.0,1.0,False,none
10,bot,3 5 0 2 4 2,0.001739499974064529,0,0.0,512.0,1.0,False,none
11,bot032,3 1 2 2 3 2,0.9358061669627205,308953088,294.640625,512.0,1.0,False,none
12,bot,0 5 2 5 1 5,0.0017712919507175684,0,0.0,512.0,1.0,False,none
13,bot032,5 6 6 6 5 5,0.9350178750464693,230965248,220.265625,512.0,1.0,False,none
14,bot,2 3 4 5 7 2,0.0018100000452250242,0,0.0,512.0,1.0,False,none
15,bot032,6 2 6 3 5 4,0.9340133330551907,192561152,183.640625,512.0,1.0,False,none
16,bot,0 2 0 1 7 1,0.0019802910974249244,0,0.0,512.0,1.0,False,none
17,bot032,6 6 5 6 6 6,0.934106457978487,177389568,169.171875,512.0,1.0,False,none
18,bot,7 7 6 7 1 7,0.0018070840742439032,0,0.0,512.0,1.0,False,none
19,bot032,6 3 4 1 2 1,0.9342432910343632,156172288,148.9375,512.0,1.0,False,none
20,bot,0 1 1 1 0 2,0.0019222080009058118,0,0.0,512.0,1.0,False,none
21,bot032,4 1 4 0 2 0,0.9331930830376223,155107328,147.921875,512.0,1.0,False,none
22,bot,4 5 0 1 2 3,0.0017659170553088188,0,0.0,512.0,1.0,False,none
23,bot032,2 6 3 5 1 3,0.9333487920230255,145752064,139.0,512.0,1.0,False,none
24,bot,2 5 2 4 3 4,0.0018027920741587877,0,0.0,512.0,1.0,False,none
25,bot032,3 5 2 6 3 5,0.93353224999737,137084928,130.734375,512.0,1.0,False,none
26,bot,0 1 1 0 0 0,0.0018174579599872231,0,0.0,512.0,1.0,False,none
27,bot032,2 2 1 2 2 2,0.9335140419425443,123174912,117.46875,512.0,1.0,False,none
28,bot,6 7 4 7 7 7,0.0017895830096676946,0,0.0,512.0,1.0,False,none
29,bot032,4 0 5 1 3 1,0.9333205410512164,123666432,117.9375,512.0,1.0,False,none
30,bot,4 7 6 7 2 7,0.0020064589334651828,0,0.0,512.0,1.0,False,none
31,bot032,5 6 5 7 5 6,0.9325848330045119,7569408,7.21875,512.0,1.0,False,none
32,bot,2 4 2 5 2 4,0.001965167000889778,0,0.0,512.0,1.0,False,none
33,bot032,1 2 0 1 1 2,0.9320320409024134,3489792,3.328125,512.0,1.0,False,none
34,bot,,0.002046625013463199,0,0.0,512.0,1.0,False,none
