turn,player,move,time_seconds,memory_bytes,memory_mb,memory_limit_mb,time_limit,is_first_turn,violation
1,bot028,5 0 5 6 1 6,0.3575925830518827,686784512,654.96875,512.0,2.0,True,none
2,bot028,2 7 2 2 1 3,0.3899504579603672,690913280,658.90625,512.0,2.0,True,none
3,bot028,2 0 4 2 0 6,0.4138359581120312,687898624,656.03125,512.0,1.0,False,none
4,bot028,0 5 2 5 0 3,0.4321918749483302,684244992,652.546875,512.0,1.0,False,none
5,bot028,0 2 1 1 3 1,0.4478014169726521,690454528,658.46875,512.0,1.0,False,none
6,bot028,7 5 5 3 5 5,0.5093667499022558,689274880,657.34375,512.0,1.0,False,none
7,bot028,5 6 2 6 6 6,0.5313801659503952,686620672,654.8125,512.0,1.0,False,none
8,bot028,5 7 5 6 0 1,0.5671489170053974,689487872,657.546875,512.0,1.0,False,none
9,bot028,7 2 6 2 6 5,0.5799892919603735,689815552,657.859375,512.0,1.0,False,none
10,bot028,5 3 5 2 5 1,0.6743415830424055,689307648,657.375,512.0,1.0,False,none
11,bot028,4 2 3 3 6 3,0.7303090419154614,691322880,659.296875,512.0,1.0,False,none
12,bot028,2 2 2 1 2 0,0.8354139999719337,689389568,657.453125,512.0,1.0,False,none
13,bot028,6 2 6 1 6 2,0.8790965840453282,688717824,656.8125,512.0,1.0,False,none
14,bot028,5 2 5 3 4 4,0.9248091250192374,691224576,659.203125,512.0,1.0,False,none
15,bot028,3 3 3 2 1 4,0.9379740000003949,663437312,632.703125,512.0,1.0,False,none
16,bot028,5 6 3 6 3 3,0.9382982089882717,646545408,616.59375,512.0,1.0,False,none
17,bot028,3 2 5 4 6 4,0.9380830000154674,624787456,595.84375,512.0,1.0,False,none
18,bot028,2 5 1 5 4 5,0.9394049580441788,623968256,595.0625,512.0,1.0,False,none
19,bot028,5 4 4 3 5 2,0.9379754159599543,590397440,563.046875,512.0,1.0,False,none
20,bot028,5 3 4 2 0 2,0.9384574589785188,585564160,558.4375,512.0,1.0,False,none
21,bot028,2 6 3 7 6 7,0.9378756250953302,588431360,561.171875,512.0,1.0,False,none
22,bot028,4 2 3 2 5 0,0.9384289999725297,584187904,557.125,512.0,1.0,False,none
23,bot028,3 7 4 6 2 4,0.9370089580770582,575225856,548.578125,512.0,1.0,False,none
24,bot028,1 5 2 6 3 7,0.9375406249891967,539295744,514.3125,512.0,1.0,False,none
25,bot028,4 3 4 2 4 3,0.9374028330203146,528842752,504.34375,512.0,1.0,False,none
26,bot028,2 6 1 5 3 5,0.9372382919536904,528433152,503.953125,512.0,1.0,False,none
27,bot028,4 6 4 7 4 6,0.936725499923341,522977280,498.75,512.0,1.0,False,none
28,bot028,3 2 4 1 2 3,0.9370307499775663,522715136,498.5,512.0,1.0,False,none
29,bot028,6 1 7 2 7 7,0.9372303750133142,525418496,501.078125,512.0,1.0,False,none
30,bot028,4 1 3 2 4 1,0.9366282500559464,523190272,498.953125,512.0,1.0,False,none
31,bot028,7 2 7 1 7 6,0.9367552499752492,522813440,498.59375,512.0,1.0,False,none
32,bot028,3 6 2 6 3 6,0.936746958992444,523370496,499.125,512.0,1.0,False,none
33,bot028,7 1 7 2 7 5,0.9370721249142662,513310720,489.53125,512.0,1.0,False,none
34,bot028,3 2 1 2 3 2,0.9375216669868678,513523712,489.734375,512.0,1.0,False,none
35,bot028,7 2 7 1 7 4,0.9367250839713961,510738432,487.078125,512.0,1.0,False,none
36,bot028,2 6 2 7 0 7,0.936835250002332,512114688,488.390625,512.0,1.0,False,none
37,bot028,7 1 7 0 7 3,0.9368478750111535,509001728,485.421875,512.0,1.0,False,none
38,bot028,1 5 2 5 3 4,0.9372589999111369,511836160,488.125,512.0,1.0,False,none
39,bot028,4 2 5 3 4 2,0.937605332932435,504807424,481.421875,512.0,1.0,False,none
40,bot028,2 5 0 5 2 5,0.9377601669402793,502562816,479.28125,512.0,1.0,False,none
41,bot028,1 1 1 0 1 1,0.9367949159350246,502104064,478.84375,512.0,1.0,False,none
42,bot028,2 1 3 0 2 1,0.9367127909790725,496435200,473.4375,512.0,1.0,False,none
43,bot028,7 0 7 1 7 2,0.9373386669903994,499482624,476.34375,512.0,1.0,False,none
44,bot028,2 7 2 6 1 5,0.9365860839607194,496975872,473.953125,512.0,1.0,False,none
45,bot028,4 7 5 6 4 7,0.9370197500102222,493617152,470.75,512.0,1.0,False,none
46,bot028,3 0 4 0 3 0,0.9366337090032175,483278848,460.890625,512.0,1.0,False,none
47,bot028,7 1 7 0 6 1,0.9365140419686213,481755136,459.4375,512.0,1.0,False,none
48,bot028,0 5 0 4 0 5,0.9368328750133514,481411072,459.109375,512.0,1.0,False,none
49,bot028,7 0 6 0 7 1,0.9364717500284314,481361920,459.0625,512.0,1.0,False,none
50,bot028,1 2 2 2 1 2,0.9365044999867678,481378304,459.078125,512.0,1.0,False,none
51,bot028,5 6 5 7 5 6,0.9373302080202848,481378304,459.078125,512.0,1.0,False,none
52,bot028,2 6 2 7 1 7,0.9364300000015646,481378304,459.078125,512.0,1.0,False,none
53,bot028,1 0 0 0 1 0,0.9367105000419542,481378304,459.078125,512.0,1.0,False,none
54,bot028,2 7 2 6 2 7,0.9362002920825034,481378304,459.078125,512.0,1.0,False,none
55,bot028,5 3 5 4 5 3,0.9367117090150714,481378304,459.078125,512.0,1.0,False,none
56,bot028,,0.9364617909304798,481378304,459.078125,512.0,1.0,False,none
