turn,player,move,time_seconds,memory_bytes,memory_mb,memory_limit_mb,time_limit,is_first_turn,violation
1,bot032,2 0 2 6 7 6,0.8277882080292329,506544128,483.078125,512.0,2.0,True,none
2,bot,7 5 4 5 2 5,0.0018087499774992466,0,0.0,512.0,2.0,True,none
3,bot032,7 2 5 4 1 4,0.9376154160127044,477757440,455.625,512.0,1.0,False,none
4,bot,5 7 5 5 6 6,0.0019102919613942504,0,0.0,512.0,1.0,False,none
5,bot032,0 2 2 2 0 4,0.937512708012946,452771840,431.796875,512.0,1.0,False,none
6,bot,5 5 7 3 2 3,0.0019232919439673424,0,0.0,512.0,1.0,False,none
7,bot032,5 0 5 1 0 6,0.9364566669100896,421347328,401.828125,512.0,1.0,False,none
8,bot,7 3 3 7 6 7,0.0018679579952731729,0,0.0,512.0,1.0,False,none
9,bot032,2 6 3 5 1 7,0.9358123749261722,412499968,393.390625,512.0,1.0,False,none
10,bot,0 5 1 5 3 3,0.0017579999985173345,0,0.0,512.0,1.0,False,none
11,bot032,3 5 4 6 2 4,0.9352743329945952,342786048,326.90625,512.0,1.0,False,none
12,bot,4 5 4 3 7 0,0.0018875839887186885,0,0.0,512.0,1.0,False,none
13,bot032,2 2 2 1 3 2,0.9345911670243368,295550976,281.859375,512.0,1.0,False,none
14,bot,4 3 4 2 4 1,0.0018202500650659204,0,0.0,512.0,1.0,False,none
15,bot032,2 1 1 1 3 1,0.9339757090201601,202227712,192.859375,512.0,1.0,False,none
16,bot,3 7 3 6 3 4,0.0018037919653579593,0,0.0,512.0,1.0,False,none
17,bot032,5 4 5 3 5 2,0.9344603749923408,171819008,163.859375,512.0,1.0,False,none
18,bot,3 6 3 5 2 6,0.0017472499748691916,0,0.0,512.0,1.0,False,none
19,bot032,5 3 5 4 5 3,0.9332387499744073,140001280,133.515625,512.0,1.0,False,none
20,bot,3 5 3 6 4 5,0.0019355419790372252,0,0.0,512.0,1.0,False,none
21,bot032,4 6 4 7 4 6,0.9327786669600755,90619904,86.421875,512.0,1.0,False,none
22,bot,3 6 3 7 3 6,0.0017571670468896627,0,0.0,512.0,1.0,False,none
23,bot032,5 4 6 5 4 3,0.9327217920217663,71548928,68.234375,512.0,1.0,False,none
24,bot,2 7 1 6 0 5,0.001691750017926097,0,0.0,512.0,1.0,False,none
25,bot032,5 1 6 1 5 1,0.9319631250109524,20185088,19.25,512.0,1.0,False,none
26,bot,3 7 2 7 3 7,0.0018044579774141312,0,0.0,512.0,1.0,False,none
27,bot032,6 5 5 4 7 4,0.931943874922581,3309568,3.15625,512.0,1.0,False,none
28,bot,1 6 0 7 1 6,0.0018247920088469982,0,0.0,512.0,1.0,False,none
29,bot032,5 4 5 6 6 5,0.931951665901579,1359872,1.296875,512.0,1.0,False,none
30,bot,,0.0016736250836402178,0,0.0,512.0,1.0,False,none
